stock,sector,sub_sector,market_cap,beta
LLY,Healthcare,Drug Manufacturers - General,954089996288,0.347
LMT,Industrials,Aerospace & Defense,137935831040,0.245
LNT,Utilities,Utilities - Regulated Electric,17178899456,0.671
LRCX,Technology,Semiconductor Equipment & Materials,274829393920,1.779
LOW,Consumer Cyclical,Home Improvement Retail,155232108544,0.957
LULU,Consumer Cyclical,Apparel Retail,22658832384,1.016
LUV,Industrials,Airlines,22031624192,1.152
LVS,Consumer Cyclical,Resorts & Casinos,41152897024,0.964
LW,Consumer Defensive,Packaged Foods,6092490752,0.442
MA,Financial Services,Credit Services,474371162112,0.857
LYB,Basic Materials,Specialty Chemicals,16412302336,0.739
LYV,Communication Services,Entertainment,34127794176,1.197
MAA,Real Estate,REIT - Residential,16299063296,0.771
MAR,Consumer Cyclical,Lodging,86785073152,1.157
MAS,Industrials,Building Products & Equipment,14389563392,1.277
MCHP,Technology,Semiconductors,40376782848,1.445
MCD,Consumer Cyclical,Restaurants,220682158080,0.531
MCK,Healthcare,Medical Distribution,102023806976,0.409
MCO,Financial Services,Financial Data & Stock Exchanges,93991100416,1.453
MDLZ,Consumer Defensive,Confectioners,75566415872,0.402
MDT,Healthcare,Medical Devices,129390305280,0.729
META,Communication Services,Internet Content & Information,1660422848512,1.287
MET,Financial Services,Insurance - Life,50415624192,0.756
MGM,Consumer Cyclical,Resorts & Casinos,9307423744,1.461
MKC,Consumer Defensive,Packaged Foods,16318360576,0.617
MLM,Basic Materials,Building Materials,39168282624,1.156
MMM,Industrials,Conglomerates,86419685376,1.159
MO,Consumer Defensive,Tobacco,104002052096,0.501
MOH,Healthcare,Healthcare Plans,10942438400,0.491
MNST,Consumer Defensive,Beverages - Non - Alcoholic,80115736576,0.46
